name,category,subcategory,free,difficulty,manual_tester_value,automation_value,requires_code,best_for,use_when,next_step,url,license_note
Android Studio / Emulator,mobile-testing,environment,True,easy-medium,very high,medium,False,emulatory Android; logcat; instalacja APK; testy kompatybilności,Gdy testujesz aplikację Android bez pełnej puli realnych urządzeń albo chcesz szybko odtworzyć błąd.,"Połącz z ADB, Appium, Maestro albo Firebase Test Lab.",https://developer.android.com/studio,Darmowe narzędzia developerskie Google
Xcode Simulator,mobile-testing,ios-simulator,True,easy-medium,very high,medium,False,emulatory iPhone/iPad; testy iOS; Dynamic Type; orientacja; notch,"Gdy testujesz aplikację iOS na różnych rozmiarach i wersjach OS, szczególnie na macOS.","Połącz z Xcode Accessibility Inspector, ADB odpowiada tutaj Instruments.",https://developer.apple.com/documentation/xcode/running-your-app-in-simulator-or-on-a-device,Darmowe — wymaga macOS + Xcode
Genymotion Desktop,mobile-testing,android-emulator,True,easy,high,medium-high,False,szybki emulator Android; gotowe profile urządzeń; GPS; throttling sieci,Gdy standardowy AVD jest za wolny albo chcesz gotowe profile popularnych urządzeń.,"Połącz z ADB i scrcpy, używaj GPS widget do testów lokalizacji.",https://www.genymotion.com/,Darmowy plan personal; plan Business płatny
BrowserStack,mobile-testing,device-cloud,False,easy,very high,very high,False,prawdziwe urządzenia fizyczne; iOS i Android w chmurze; kompatybilność,"Gdy nie masz fizycznych urządzeń iOS/Android i musisz przetestować na realnym sprzęcie.","Uruchom App Live dla manualnych testów, App Automate dla automatyzacji.",https://www.browserstack.com/,Płatne; sprawdź czy firma ma licencję
ADB,mobile-testing,debugging,True,medium,very high,high,False,logi; instalacja APK; screenrecord; zrzuty ekranu; intencje Android,"Gdy potrzebujesz technicznych danych z urządzenia, logów, nagrania ekranu albo szybkiej instalacji aplikacji.","Naucz się komend: adb devices, adb install, adb logcat, adb shell, adb bugreport.",https://developer.android.com/tools/adb,Część Android SDK Platform Tools
scrcpy,mobile-testing,device-mirroring,True,easy,high,low,False,podgląd telefonu na PC; nagrania; demo błędów; praca z realnym urządzeniem,Gdy chcesz wygodnie obsługiwać Androida z komputera i nagrywać reprodukcję błędu.,"Połącz z ADB, narzędziami do nagrywania i checklistą bug reportu.",https://github.com/Genymobile/scrcpy,Open source
QuickTime Player,mobile-testing,screen-recording,True,easy,high,low,False,nagranie ekranu iPhone przez USB; macOS; iOS bug recording,Gdy chcesz nagrać reprodukcję buga na iPhonie i jesteś na macOS.,"Połącz z Loom dla nagrań z komentarzem głosowym.",https://support.apple.com/guide/quicktime-player/welcome/mac,Darmowe — macOS only; wymaga kabla USB i zaufania iPhone
OBS Studio,mobile-testing,screen-recording,True,easy-medium,high,low,False,profesjonalne nagrania sesji; wiele źródeł; komentarz głosowy; Android+iOS,Gdy chcesz nagrać sesję eksploracyjną z głosem albo demo buga dla PM-a.,"Połącz z oknem scrcpy dla Androida, QuickTime dla iOS.",https://obsproject.com/,Open source
Vysor,mobile-testing,device-mirroring,True,easy,medium-high,low,False,GUI mirror Android bez CLI; szybkie demo dla PM,Gdy chcesz pokazać ekran Androida bez konfiguracji ADB/scrcpy.,"Przejdź na scrcpy do codziennej pracy — jest szybszy i w pełni darmowy.",https://www.vysor.io/,Bezpłatna wersja z ograniczeniami i watermarkiem
Appium,mobile-automation,e2e,True,medium-hard,high,very high,True,Android; iOS; regresja; cross-platform mobile automation,Gdy aplikacja mobilna wymaga solidnej automatyzacji E2E i możesz pracować z kodem testów.,"Zacznij od prostych testów w Pythonie albo Javie, potem dodaj Page Object i Allure.",https://github.com/appium/appium,Open source
Appium Inspector,mobile-automation,element-inspector,True,easy-medium,high,very high,False,GUI do znajdowania selektorów; resource-id; xpath; accessibility id,Gdy chcesz znaleźć selektory elementów w działającej aplikacji mobile bez pisania kodu.,"Użyj znalezionych selektorów w Appium scripts albo Maestro YAML.",https://github.com/appium/appium-inspector,Open source; wymaga działającego serwera Appium
Appium MCP,ai-for-testing,mcp-mobile-automation,True,medium-hard,medium-high,high,True,AI-assisted mobile automation; natural language testing; generowanie locatorów,Gdy chcesz eksperymentować z AI-agentem sterującym Appium i urządzeniami mobilnymi.,"Uruchom lokalnie, połącz z emulatorem i testuj generowanie kroków na prostych ekranach.",https://github.com/appium/appium-mcp,Repozytorium open source; sprawdź licencję w repo przed użyciem komercyjnym
Maestro,mobile-automation,yaml-e2e,True,easy-medium,very high,high,False,szybkie flow E2E; YAML; Android; iOS; proste testy regresji,Gdy manualny tester chce szybko wejść w automatyzację bez ciężkiego frameworka.,"Napisz pierwsze flow YAML: launchApp, tapOn, inputText, assertVisible.",https://github.com/mobile-dev-inc/maestro,Open source; Maestro Cloud jest płatny
Katalon Studio,mobile-automation,low-code-automation,True,easy-medium,medium-high,high,False,record & playback; low-code; Android+iOS+Web; bez znajomości kodu,Gdy chcesz zacząć automatyzację mobilną bez pisania kodu — nagrywanie i odtwarzanie.,"Przejdź na Maestro lub Appium gdy outgrowsz możliwości nagrywania.",https://katalon.com/,Plan darmowy; funkcje zaawansowane płatne
Espresso,mobile-automation,native-android-automation,True,hard,low,very high,True,natywne testy Android; Java/Kotlin; biała skrzynka; dostęp do kodu apki,Gdy masz dostęp do kodu apki Android i chcesz najszybsze natywne testy UI.,"Zacznij od Appium (czarna skrzynka) — Espresso wymaga Javy/Kotlina i kodu apki.",https://developer.android.com/training/testing/espresso,Open source — część Android SDK; wymaga dostępu do source code
XCUITest,mobile-automation,native-ios-automation,True,medium-hard,low,very high,True,natywne testy iOS; Swift/ObjC; Xcode recording; biała skrzynka,Gdy masz dostęp do kodu apki iOS i potrzebujesz natywnej automatyzacji UI.,"Dla czarnej skrzynki bez Swifta użyj Appium zamiast XCUITest.",https://developer.apple.com/documentation/xctest,Darmowe — część Xcode; wymaga macOS + Xcode + Swift
Playwright,web-automation,e2e,True,medium,high,very high,True,web; mobile web; PWA; admin panel; webview-adjacent testing,"Gdy aplikacja mobilna ma panel admina, webview, PWA albo backendowe procesy webowe.",Zacznij od Playwright Codegen i testów w TypeScript.,https://github.com/microsoft/playwright,Open source
Playwright MCP,ai-for-testing,mcp-web-automation,True,medium,high,high,False,AI-agent; eksploracja UI; generowanie scenariuszy; web automation,"Gdy chcesz, aby AI mogło sterować przeglądarką i pomagać w testach webowych.",Połącz z Claude/Cursor/innym klientem MCP i zacznij od panelu testowego.,https://github.com/microsoft/playwright-mcp,Sprawdź aktualną licencję repozytorium
Browser Use,ai-for-testing,browser-agent,True,medium,medium-high,high,True,AI browser agents; automatyzacja procesów web; eksploracja paneli,Gdy chcesz automatyzować działania w przeglądarce przy pomocy LLM.,"Stosuj do paneli admina i procesów okołomobilnych, nie jako zamiennik stabilnej regresji.",https://github.com/browser-use/browser-use,Open source; usługi hosted/cloud mogą być płatne
Postman,api-testing,api-client,True,easy-medium,very high,high,False,REST API; kolekcje; mocki; testy kontraktów; dokumentacja API,Gdy musisz sprawdzać backend aplikacji mobilnej niezależnie od UI.,Dodaj testy w zakładce Tests i uruchamiaj kolekcje w Newman.,https://www.postman.com/,Plan darmowy z ograniczeniami; sprawdź warunki firmowe
Bruno,api-testing,api-client,True,easy-medium,high,medium-high,False,API testing; kolekcje w repo; alternatywa dla Postmana,Gdy chcesz trzymać requesty API lokalnie i wersjonować je w Git.,"Utwórz kolekcje dla logowania, profilu, zamówień i krytycznych endpointów.",https://github.com/usebruno/bruno,Open source; Pro/Golden Edition może być płatna
Hoppscotch,api-testing,api-client,True,easy,medium-high,medium,False,szybkie requesty; REST; GraphQL; web client,Gdy potrzebujesz lekkiego narzędzia do szybkiego testowania API.,Porównaj z Bruno/Postman pod kątem pracy zespołowej.,https://github.com/hoppscotch/hoppscotch,Open source/self-host możliwy; sprawdź licencję i plany
HTTP Toolkit,api-testing,http-proxy,True,easy-medium,very high,medium,False,inspekcja requestów mobilnych; Android QR connect; modyfikacja odpowiedzi; debug API,Gdy chcesz zobaczyć wszystkie requesty apki Android bez ręcznej konfiguracji certyfikatu.,"Użyj do przechwycenia requestów, potem odtwórz je w Bruno/Postman.",https://httptoolkit.com/,Open source; niektóre funkcje pro są płatne
Reqable,api-testing,all-in-one-api-client,True,easy-medium,high,medium,False,API client + HTTP proxy + request diff w jednym; HTTP/2; WebSocket; gRPC,Gdy chcesz jedno narzędzie łączące Postmana i proxy w stylu Charlesa.,"Porównaj z Bruno + HTTP Toolkit jako alternatywą open source.",https://reqable.com/,Plan darmowy z limitami; sprawdź aktualne ceny przed adopcją
mitmproxy,debugging,proxy,True,medium-hard,high,medium,False,analiza ruchu HTTP; debug API; mobile proxy; mockowanie,Gdy chcesz przechwycić requesty aplikacji mobilnej bez płatnego Charlesa.,Skonfiguruj proxy na telefonie i zainstaluj certyfikat testowy.,https://mitmproxy.org/,Open source
Charles Proxy,debugging,proxy,False,medium,very high,medium,False,mobile proxy; SSL proxying; analiza requestów; debug sieci,Gdy zespół używa sprawdzonego proxy i potrzebuje wygodnego UI.,"Jeżeli budżet zerowy, zacznij od mitmproxy lub HTTP Toolkit.",https://www.charlesproxy.com/,"Płatne, ale bardzo popularne w mobile QA"
Fiddler Everywhere,debugging,proxy,False,medium,high,medium,False,HTTP debugging; mobile traffic; desktop/web debugging,Gdy firma ma licencję lub potrzebujesz alternatywy dla Charlesa.,Porównaj koszty z Charles i darmowym mitmproxy.,https://www.telerik.com/fiddler/fiddler-everywhere,Płatne; dostępna wersja trial
Firebase Crashlytics,mobile-testing,crash-reporting,True,medium,high,medium,False,crashe; stack trace; monitoring wersji; priorytetyzacja błędów,Gdy chcesz widzieć rzeczywiste crashe z testów i produkcji.,Łącz zgłoszenia z Jira i wersjami buildów.,https://firebase.google.com/products/crashlytics,Część Firebase; sprawdź limity i politykę danych
Firebase Test Lab,mobile-testing,device-cloud,False,medium,medium-high,high,False,testy na wielu urządzeniach; Android; automatyczne testy; kompatybilność,"Gdy nie masz fizycznej farmy urządzeń, a musisz sprawdzić kompatybilność.",Uruchom smoke test na kilku popularnych modelach Android.,https://firebase.google.com/products/test-lab,Model płatny/limity w Google Cloud
Jam,bug-reporting,screen-recording,True,easy,very high,low,False,1-klik nagranie + logi + network + Jira; bug reporting bez ręcznego zbierania danych,Gdy chcesz zgłosić buga z pełnym kontekstem technicznym w jak najkrótszym czasie.,Połącz z Jirą i ustaw jako domyślne narzędzie do raportowania bugów webowych.,https://jam.dev/,Plan darmowy; premium płatny
Bird Eats Bug,bug-reporting,screen-recording,True,easy,high,low,False,nagrania z auto-logami; webapps; bug reporting z network trace,Gdy testujesz webapp i chcesz automatyczne logi do każdego nagrania buga.,Porównaj z Jam.dev pod kątem integracji z Jirą.,https://birdeatsbug.com/,Plan darmowy z limitami
Greenshot,bug-reporting,screenshot-annotation,True,easy,high,low,False,screenshoty z adnotacjami; strzałki; tekst; obramowania; szybki workflow,Gdy potrzebujesz szybko oznaczyć screenshot i wysłać do Jiry lub Slacka.,Używaj razem z bug report template dla kompletnych zgłoszeń.,https://getgreenshot.org/,Open source — Windows; macOS: użyj Skitch lub CleanShot X
Loom,bug-reporting,screen-recording,True,easy,high,low,False,nagranie wideo z komentarzem głosowym; link w Jirze; zastępstwo opisu kroków,Gdy kroki buga są trudne do opisania tekstem — nagranie jest szybsze i jaśniejsze.,Combine z Jam.dev dla bugów wymagających i kontekstu technicznego i opisu kroków.,https://www.loom.com/,Plan darmowy (25 nagrań); dalej płatny
Instabug,bug-reporting,sdk-bug-reporting,False,medium,very high,medium,False,SDK w buildzie testowym; shake = raport z logami + ścieżką nawigacji; mobile,Gdy testerzy testują na urządzeniach bez komputera i potrzebują szybkiego raportowania.,Połącz raporty Instabug z Jirą i ustandaryzuj severity w zespole.,https://instabug.com/,Płatne; wymaga integracji dewelopera w kodzie apki
Android Layout Inspector,ui-inspection,ui-debug,True,easy-medium,very high,medium,False,sprawdzenie margin/padding/font; wartości dp; inspekcja hierarchii widoków,Gdy chcesz podać w ticket liczbę — margin jest 8dp zamiast 16dp z projektu Figma.,Porównaj wartości z Figma Dev Mode — różnica = bug UI.,https://developer.android.com/studio/debug/layout-inspector,Darmowe — wbudowane w Android Studio
Xcode Accessibility Inspector,ui-inspection,a11y-ios,True,easy-medium,high,medium,False,VoiceOver labels; kolejność fokusa; a11y WCAG; inspekcja dostępności iOS,Gdy testujesz dostępność aplikacji iOS i chcesz sprawdzić opisy VoiceOver i kolejność fokusa.,Zaplanuj regularne sesje a11y w checkliście release.,https://developer.apple.com/library/archive/documentation/Accessibility/Conceptual/AccessibilityMacOSX/OSXAXTestingApps.html,Darmowe — wbudowane w Xcode; macOS only
Figma Dev Mode,ui-inspection,design-reference,True,easy,very high,low,False,source of truth UI; kolory; wymiary; spacing; typografia z projektu,Gdy chcesz porównać implementację z projektem — sprawdzasz spec zamiast zgadywać.,Porównaj z Layout Inspector (Android) albo View Hierarchy (Xcode) dla konkretnych wartości.,https://www.figma.com/dev-mode/,Darmowe (read-only dla non-editors); wymaga dostępu do pliku Figma
Accessibility Scanner,ui-inspection,a11y-android,True,easy,high,low,False,szybki audit Android; kontrast; rozmiar target; opisy elementów; WCAG,Gdy chcesz szybko sprawdzić podstawowe problemy dostępności na Androidzie.,Połącz wyniki z checklistą dostępności i planuj regularne sesje a11y.,https://play.google.com/store/apps/details?id=com.google.android.apps.accessibility.auditor,Darmowe — Google Play; część Google Accessibility Suite
uiautomatorviewer,ui-inspection,element-inspector,True,medium,medium-high,high,False,resource-id; xpath; content-desc; selektory do automatyzacji; inspekcja hierarchii,Gdy szukasz selektorów elementów do Appium lub Maestro i nie masz Appium Inspector.,Użyj Appium Inspector — nowocześniejsza alternatywa z lepszym UX.,https://developer.android.com/training/testing/other-components/ui-automator,Darmowe — część Android SDK; starszy tool; Appium Inspector jest nowszy
Jira,test-management,issue-tracking,True,easy-medium,very high,medium,False,bug reporting; workflow; projekty agile; integracje,"Gdy zespół prowadzi backlog, bugi i sprinty w Atlassian.",Ustandaryzuj szablon bug reportu i pola Severity/Priority.,https://www.atlassian.com/software/jira,Plan darmowy z ograniczeniami użytkowników/funkcji
Xray,test-management,jira-test-management,False,medium,high,high,False,test cases in Jira; traceability; manual + automation; raportowanie,Gdy firma używa Jira i chce pełne zarządzanie testami.,"Porównaj z Zephyr, Qase, TestRail i Kiwi TCMS.",https://www.getxray.app/,Płatny dodatek do Jira
Qase,test-management,test-case-management,True,easy,very high,high,False,nowoczesny TMS; integracja Jira; test runs; reporting; cloud,Gdy szukasz darmowego nowoczesnego TMS dla małego teamu z integracją Jira.,"Połącz wyniki automatyzacji z Appium/Playwright przez Qase API reporter.",https://qase.io/,Plan darmowy do 3 użytkowników; potem płatny
Testomat.io,test-management,test-case-management,True,easy-medium,high,very high,False,manualne + automatyczne testy w jednym miejscu; import z repo; Jira,Gdy chcesz widzieć wyniki manualnych i automatycznych testów w jednym dashboardzie.,"Importuj istniejące testy Playwright/Appium/Cypress do projektu, potem dodaj manualne.",https://testomat.io/,Plan darmowy do 3 użytkowników
AgileTest,test-management,jira-native-tms,True,easy,very high,medium,False,test cases natywnie w Jira; zero context switching; testy w sprintach,Gdy zespół jest głęboko w Jirze i nie chcesz kolejnego osobnego narzędzia.,"Porównaj z Xray dla większych teamów z potrzebą BDD/Gherkin.",https://marketplace.atlassian.com/apps/1222095/agiletest-test-management-for-jira,Darmowe do 10 użytkowników; płatne powyżej
Kiwi TCMS,test-management,test-case-management,True,medium,high,medium-high,False,test cases; test plans; test runs; self-host,"Gdy chcesz darmowe, firmowe i lokalnie hostowane zarządzanie testami.",Postaw demo w Dockerze i sprawdź workflow test case → test run → report.,https://github.com/kiwitcms/Kiwi,Open source/self-host
TestLink,test-management,test-case-management,True,medium,medium,low-medium,False,klasyczne zarządzanie przypadkami testowymi; mały budżet,Gdy potrzebujesz prostego self-hosted test management i akceptujesz starszy UX.,"Najpierw porównaj z Kiwi TCMS, bo Kiwi zwykle będzie lepszym startem.",https://github.com/TestLinkOpenSourceTRMS/testlink-code,"Open source, ale projekt jest starszy"
Allure Report,automation-reporting,reports,True,medium,medium,very high,True,raporty automatyzacji; historia testów; screenshots; CI,"Gdy testy automatyczne muszą mieć czytelne raporty dla QA, devów i managera.",Dodaj do Playwright/Appium/pytest/JUnit.,https://github.com/allure-framework/allure2,Open source; Allure TestOps jest płatny
Sentry,debugging,error-monitoring,True,medium,high,medium,False,error monitoring; frontend; backend; mobile; releases,Gdy błędy produkcyjne i testowe muszą trafiać do zespołu z kontekstem technicznym.,Połącz eventy z wersją aplikacji i zgłoszeniami w Jira.,https://sentry.io/,"Plan darmowy z limitami; self-host możliwy, ale cięższy"
GitHub Copilot,ai-for-testing,coding-assistant,False,easy-medium,high,very high,False,pisanie testów; wyjaśnianie kodu; generowanie przypadków testowych; review testów,Gdy masz dostęp do repo i chcesz szybciej rozumieć kod oraz tworzyć automaty.,Używaj go z checklistą bezpieczeństwa: nie akceptuj kodu bez zrozumienia.,https://github.com/features/copilot,Płatne lub firmowe; u Ciebie może być dostęp przez firmę
Continue.dev,ai-for-testing,local-ai-coding,True,medium,medium-high,high,False,lokalny asystent kodu; Ollama; VS Code; repo context,Gdy chcesz używać lokalnego LLM do pracy z testami i repozytorium.,Połącz z modelem Qwen/Coder przez Ollama i zacznij od generowania testów jednostkowych pomocniczych.,https://github.com/continuedev/continue,Open source; zależnie od modeli możesz używać lokalnie lub cloud
Roo Code / Cline,ai-for-testing,agentic-coding,True,medium-hard,medium,very high,True,agent w IDE; modyfikacja repo; tworzenie frameworka testowego; refactoring,Gdy tester ma dostęp do repo i chce półautomatycznie budować testy lub framework.,"Zacznij od małego zadania: dodać jeden test, nie refaktor całego projektu.",https://github.com/RooVetGit/Roo-Code,Rozszerzenia open source; koszt zależy od użytego modelu
Testsigma,ai-for-testing,ai-test-automation,True,easy-medium,high,very high,False,AI generuje TC z Jiry; wykonuje testy; raportuje; bez kodowania,Gdy chcesz aby AI wygenerowało i wykonało testy na podstawie user stories ze sprintu.,"Traktuj output AI jako draft — zawsze review wygenerowanych testów przed użyciem.",https://testsigma.com/,Plan free forever z limitami; premium płatny
MaestroGPT,ai-for-testing,ai-yaml-generator,True,easy,very high,high,False,natural language → YAML flow Maestro; bez kodowania; mobile automation,Gdy chesz zautomatyzować test mobilny opisując go po polsku lub angielsku.,"Edytuj wygenerowany YAML przed uruchomieniem — AI nie zna Twoich element IDs.",https://maestro.mobile.dev/,Część Maestro Studio; sprawdź aktualną dostępność funkcji
Ollama,ai-for-testing,local-llm,True,easy-medium,high,medium,False,lokalny LLM offline; analiza logów firmowych; bezpieczna praca z kodem objętym NDA,Gdy chcesz używać AI do analizy logów i kodu bez wysyłania danych do chmury — np. dane firmowe objęte NDA.,"Połącz z Continue.dev w VS Code jako lokalny asystent kodu i testów.",https://ollama.com/,Open source; każdy model ma osobną licencję — sprawdź przed użyciem komercyjnym
LM Studio,ai-for-testing,local-llm,True,easy,high,medium,False,lokalny LLM z GUI; alternatywa dla Ollamy; analiza logów; chat bez terminala,Gdy chcesz lokalnego AI bez terminala — graficzny interfejs do pobierania i uruchamiania modeli LLM.,"Włącz lokalny serwer API i podłącz do Continue.dev lub własnych skryptów.",https://lmstudio.ai/,Darmowe; sprawdź licencje poszczególnych modeli LLM
Proxyman,debugging,proxy,True,easy-medium,very high,medium,False,proxy macOS; inspekcja HTTPS; Map Local; podmiana response; mobilny debug API,Gdy chcesz zobaczyć i modyfikować ruch API aplikacji mobilnej na macOS — wygodniejszy UX niż Charles.,"Naucz się Map Local do podmianiy odpowiedzi serwera bez angażowania backendowca.",https://proxyman.io/,Plan basic darmowy; funkcje zaawansowane płatne; macOS-first
